id,proposal_id,member_id,user_comment,proposer_response,status,create_at
1,5,9,不好意思，我的贊助編號是P108681B 想問一下什麼時候會收到呢～！ 感謝,您好，禮盒已經送出，和豐店到店，應該已經抵達喔～ 感謝您對募資計畫的支持喔～ :),1,2019-08-14 16:31:53
2,1,10,GoPlus 已更新連線方式，你們還支援24小時不斷線嗎,丹尼的影片 1 : 40 秒有講解如何連線 GoPlus 功能喔～,1,2013-09-22 4:38:49
3,1,3,請問當寶可夢執行背景應用程式or手機休眠時，247還會持續運作抓怪轉牌嗎?,,0,2013-05-10 11:19:45
4,5,4,讚！！每日寫日記,太棒了，歡迎在我們FB粉絲頁跟大家分享喔～,1,2022-02-13 13:56:03
5,4,8,加油！你的作品很有特色，如果size再完整一些，單價低一些應該很有市場的！,謝謝您的支持與鼓勵！！,1,2021-01-06 0:39:49
6,10,1,上次短褲沒跟到，這次上衣短褲共下買。,謝謝您的支持 : ),1,2018-06-04 9:49:01
7,1,2,我多訂一個能退嘛,要請您寄一封信到 support@zeczec.com,1,2015-04-07 12:52:28
8,2,6,請問軟糖保存期限多久呢？因為同事都是垃圾讓人很需要囤貨 :),您好，保存期限是一年喔！希望可以陪你平靜渡過被垃圾氣到不行的每一天 :),1,2021-01-23 17:59:33
9,1,7,有機會可以早點出貨嗎？6/1要等很久,,0,2016-05-30 16:00:46
10,3,1,請問留言tag兩個人的活動我不小心讓他的網頁跳出來該怎麼再操作一次，謝謝。,您好！已另外傳送嘖嘖站內信給您，再請查收,1,2010-01-19 21:45:19
11,7,5,我想取消贊助或退款，該怎麼做？,如果您所支持的計畫仍在計畫集資期間尚未結束，您可以與嘖嘖客服聯絡，我們會透過您贊助時的原付款方式退還你所支持的金額（不包含虛擬帳號轉帳交易手續費）。如果該計畫已經集資結...,1,2016-07-18 16:00:00
12,8,3,超商取貨會產生手續費、運費嗎?,,0,2016-02-04 14:45:00
13,6,8,商品有瑕疵怎麼辦？,在取得商品後未經剪標、清洗過，穿著過後，即發現商品有瑕疵，將協助退換貨。,1,2017-07-26 12:50:26
14,9,2,商品有提供保固嗎?,,0,2018-10-19 19:59:33
